N_STATES,SEED,LL,AIC,BIC,MIN_COUNT,CONVERGED,VALID
2,46396,15244.07,-30462.13,-30387.4,319,True,True
2,46531,15242.74,-30459.47,-30384.74,305,True,True
2,46920,15242.5,-30458.99,-30384.26,304,True,True
2,46972,15243.67,-30461.35,-30386.62,315,True,True
2,47003,15242.5,-30458.99,-30384.26,304,True,True
2,47089,15242.5,-30458.99,-30384.26,304,True,True
2,47108,15244.08,-30462.16,-30387.43,319,True,True
2,47203,15242.56,-30459.12,-30384.39,304,True,True
2,47255,15242.5,-30458.99,-30384.26,304,True,True
2,47260,15242.96,-30459.92,-30385.19,311,True,True
2,47292,15242.5,-30458.99,-30384.26,304,True,True
2,48002,15244.32,-30462.64,-30387.91,334,True,True
2,48157,15243.25,-30460.5,-30385.77,311,True,True
2,48273,15243.9,-30461.8,-30387.07,319,True,True
2,48537,15242.7,-30459.41,-30384.68,304,True,True
2,48579,15244.22,-30462.45,-30387.72,334,True,True
2,48622,15243.79,-30461.58,-30386.85,319,True,True
2,48641,15242.52,-30459.04,-30384.31,304,True,True
2,48657,15243.85,-30461.69,-30386.96,316,True,True
2,48768,15242.58,-30459.17,-30384.44,304,True,True
2,48789,15243.72,-30461.44,-30386.71,315,True,True
2,48823,15243.79,-30461.58,-30386.85,319,True,True
2,48928,15242.5,-30458.99,-30384.26,304,True,True
2,49083,15242.5,-30458.99,-30384.26,304,True,True
2,49296,15244.08,-30462.17,-30387.44,319,True,True
2,49420,15244.78,-30463.56,-30388.83,334,True,True
2,49508,15242.5,-30459.0,-30384.27,304,True,True
2,49541,15241.27,-30456.54,-30381.81,332,True,True
2,49679,15244.61,-30463.22,-30388.49,334,True,True
2,49704,15242.5,-30459.0,-30384.27,304,True,True
2,49734,15242.5,-30458.99,-30384.26,304,True,True
2,49979,15242.5,-30458.99,-30384.26,304,True,True
2,50075,15242.84,-30459.67,-30384.94,311,True,True
2,50097,15248.38,-30470.77,-30396.04,394,True,True
2,50125,15242.85,-30459.69,-30384.96,311,True,True
2,50199,15242.52,-30459.04,-30384.31,304,True,True
2,50284,15240.31,-30454.62,-30379.89,317,True,True
2,50476,15242.52,-30459.03,-30384.3,304,True,True
2,50480,15242.5,-30459.0,-30384.27,304,True,True
2,50525,15244.13,-30462.27,-30387.54,319,True,True
2,50548,15240.62,-30455.25,-30380.52,317,True,True
