DATE,SPXT,DBLCIX,IBOXIG,JPEICORE,LT11TRUU,LBUTTRUU
2008-09-16,0.01737,-0.04231,-0.02196,-0.01809,0.00609,-0.00951
2008-09-17,-0.04826,0.04406,-0.01584,-0.01015,0.00192,0.00388
2008-09-18,0.04274,-0.00289,0.0,0.0057,-0.00377,-0.0064
2008-09-19,0.03946,0.02968,0.00492,0.01611,-0.03911,0.00037
2008-09-22,-0.03893,0.04197,0.0011,-0.00135,-0.00551,-0.00014
2008-09-23,-0.01574,-0.01911,-0.00262,-0.00573,-0.00304,-0.01
2008-09-24,-0.00197,-0.00186,0.00393,-0.00246,0.00866,-0.00362
2008-09-25,0.01947,0.00989,-0.01373,-0.00341,-0.00358,-0.00261
2008-09-26,0.00339,-0.00961,-0.01166,-0.00404,0.00798,5e-05
2008-09-29,-0.09196,-0.06171,0.00332,-0.0114,0.02884,0.00627
2008-09-30,0.05279,0.01598,0.00162,-0.00798,-0.02486,-0.01827
2008-10-01,-0.0044,-0.0159,-0.00296,0.00109,0.00888,0.00174
2008-10-02,-0.04095,-0.04943,-0.00127,-0.00882,0.0135,0.00909
2008-10-03,-0.01358,-0.00532,-0.0017,-0.00165,0.00308,0.00112
2008-10-06,-0.03926,-0.05199,-0.0022,-0.02828,0.02844,0.00293
2008-10-07,-0.0591,0.01428,-0.00469,-0.00567,-0.01173,-0.01361
2008-10-08,-0.01085,0.00271,-0.00844,-0.02693,-0.01249,-0.02451
2008-10-09,-0.07921,-0.0056,-0.01156,-0.01726,-0.00999,-0.00673
2008-10-10,-0.01174,-0.07,-0.01974,-0.06446,-0.00236,-0.00996
2008-10-14,0.10425,0.0093,0.00178,0.0497,-0.01806,-0.00211
2008-10-15,-0.0946,-0.03905,0.00332,-0.02602,-0.00106,-0.00148
2008-10-16,0.04166,-0.03609,-0.00733,-0.01938,0.00262,-0.00702
2008-10-17,-0.00622,0.01967,-0.00126,-0.00515,-0.01042,0.005
2008-10-20,0.04658,0.01498,0.00445,-0.01154,0.00557,0.00261
2008-10-21,-0.03127,-0.02117,-0.0017,-0.01772,0.0142,0.00486
2008-10-22,-0.06274,-0.06167,0.00496,-0.06384,0.01338,-0.00024
2008-10-23,0.01258,0.00554,0.00258,-0.02601,0.01766,-0.00457
2008-10-24,-0.03511,-0.0326,-0.0048,-0.01523,-0.01874,-0.02871
2008-10-27,-0.03228,0.00504,-0.00393,0.00888,-0.00192,-0.01136
