N_STATES,TERM,P_VALUE,PREDICTOR_VALUE,LOG_ODDS_CONTRAST,FITTED_LOG_ODDS,MODEL,PENALTY_GROUP,GROUP_PENALTY_WEIGHT,OBSERVATION_COUNT,NUMERATOR_COUNT,DENOMINATOR_COUNT,OBSERVED_LOG_ODDS,OBSERVED_LOG_ODDS_SE
4,SPXT_LAG_0,0.02,-0.041741139240506334,2 vs 0,-0.6727796291746013,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.03922405063291139,2 vs 0,-0.6850102109694325,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.03670696202531645,2 vs 0,-0.6972597867327096,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.03418987341772152,2 vs 0,-0.7095181233954168,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.031672784810126586,2 vs 0,-0.7217749878885407,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.029155696202531653,2 vs 0,-0.7340201471430666,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.026638607594936706,2 vs 0,-0.7462433680899803,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.024121518987341772,2 vs 0,-0.7584344176602673,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.02160443037974684,2 vs 0,-0.7705830627849131,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.019087341772151892,2 vs 0,-0.7826790703949038,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.01657025316455696,2 vs 0,-0.7947122074212246,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.014053164556962025,2 vs 0,-0.8066722708268977,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.011536075949367092,2 vs 0,-0.8185502250703545,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.009018987341772158,2 vs 0,-0.8303385512278578,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.006501898734177211,2 vs 0,-0.8420298317337921,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.003984810126582278,2 vs 0,-0.8536166490225428,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.0014677215189873444,2 vs 0,-0.8650915855284945,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.0010493670886076029,2 vs 0,-0.8764472236860323,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.0035664556962025362,2 vs 0,-0.8876761459295414,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
